"","�Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","DPMean","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","AIPMean","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","GPMean","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SWLSMean","OthersLabel","DPMean.1"
"376",32.5,"Female","0","deg","full-time",67500,"","8",0,"Village","Hong Kong","Single","0",0,3,4,4,3,3,3.4,2,2,4,4,2,1,4,3,2,4,3,4,4,4,3,3.07,4,4,3,4,2,2,4,3,4,5,3,4,5,2,3,5,4,4,5,4,3.7,3,3,2,2,2,2.4,"yes",3.4
"377",25,"Male","0","deg","full-time",10000,"",NA,0,"Village","Hong Kong","","0",0,4,4,4,4,4,4,4,4,4,5,4,5,4,2,3,5,3,4,4,3,3,3.8,3,3,3,3,3,3,3,2,4,4,2,4,2,2,2,4,4,2,4,2,2.95,3,3,3,3,2,2.8,"no",4
"378",55,"Male","0","phd","full-time",150000,"","9",0,"Rural/Country","Hong Kong","","0",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"no",3
"379",45,"Female","0","deg","full-time",150000,"","9",0,"Village","Hong Kong","Married","0",0,4,4,4,4,4,4,3,1,3,3,3,3,3,3,2,3,3,1,3,1,5,2.67,4,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,2,3,3,3,3.15,3,3,3,3,3,3,"yes",4
"380",28,"Male","0","phd","full-time",35000,"Research Scientist","1",0,"Large-City","Ireland","Married","0",0,3,2,3,1,1,2,1,1,2,1,1,5,2,3,2,2,2,1,2,1,1,1.8,2,1,1,1,3,1,3,3,3,1,1,3,3,2,3,4,2,3,4,1,2.25,5,5,5,5,5,5,"no",2
"381",45,"Male","1","dip","unemployed",15000,"Disability Allowance","7",0,"Large-City","Ireland","Separated","2",1,5,4,5,4,4,4.4,5,3,5,1,5,1,4,5,5,5,2,5,4,4,4,3.87,5,1,5,5,4,4,5,4,5,4,3,4,4,5,3,4,4,5,5,5,4.2,3,3,3,3,4,3.2,"yes",4.4
"382",67.5,"Male","1","high","retired",45000,"retired","10",6,"Rural/Country","Ireland","Married","1",7,4,5,5,4,4,4.4,5,1,5,4,4,2,5,5,5,5,2,1,1,1,4,3.33,5,4,2,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4.45,2,4,4,4,1,3,"yes",4.4
"383",28,"Male","0","deg","full-time",55000,"Doctor; Physician","3",0,"Large-City","Ireland","Single","0",0,4,3,4,4,4,3.8,3,2,3,4,4,5,4,4,5,5,4,2,4,2,4,3.67,5,2,4,5,4,3,4,4,4,5,2,4,3,4,4,5,5,5,5,4,4.05,3,4,3,3,1,2.8,"no",3.8
"384",22,"Male","0","ma","part-time",15000,"Sales Expert","3",0,"Small City","Ireland","Single","0",0,4,3,4,3,3,3.4,2,3,3,4,3,5,4,5,5,5,3,3,4,3,2,3.6,4,4,3,5,5,4,5,5,5,4,4,5,3,2,4,4,4,5,4,4,4.15,1,1,1,2,1,1.2,"no",3.4
"385",32.5,"Female","0","ma","student",35000,"","4",0,"Village","Ireland","Single","0",0,4,4,2,3,3,3.2,1,1,4,3,4,2,4,4,4,4,3,2,4,2,4,3.07,4,2,3,2,4,3,4,3,4,2,3,4,2,3,4,3,4,4,4,4,3.3,2,3,2,2,2,2.2,"yes",3.2
"386",24,"Female","0","deg","full-time",35000,"","1",0,"Village","Ireland","Single","0",0,4,4,4,4,4,4,4,1,2,2,2,3,4,2,2,2,3,2,4,2,3,2.53,3,3,3,4,5,4,4,4,4,2,3,3,4,4,4,4,4,4,4,3,3.65,2,3,2,2,2,2.2,"yes",4
